"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Potoniec, J.","Potoniec, Jȩdrzej (42662069800)","42662069800","Is the Proof Length a Good Indicator of Hardness for Reason-able Embeddings?","2023","CEUR Workshop Proceedings","3432","","","150","161","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167453235&partnerID=40&md5=284a068da20979fa608d29e0c95e7f2f","Politechnika Poznanska, Poznan, WP, Poland","Potoniec, Jȩdrzej, Politechnika Poznanska, Poznan, WP, Poland","Reason-able embeddings are recently proposed embeddings for knowledge bases (KBs) in the description logic AℒC capable of casting multiple KBs into a single latent space using a transferable neural reasoner. While they exhibit remarkable performance on real-world KBs, it is so far unknown what are their exact limits. In this paper, we systematically investigate their performance using a set of synthetic KBs in the description logic ℰℒ, a subset of AℒC. We use the proof length as a measure of reasoning complexity and present a random KB generator taking the proof length into account. We train the reason-able embeddings with and without transfer learning and investigate whether the complexity of the training set and the test set is related to the reasoning performance of the embeddings and their neural reasoner. © 2023 Copyright for this paper by its authors.","description logics; neural-symbolic reasoning; reason-able embeddings; transfer learning","Computer circuits; Data description; Formal languages; Description logic; Embeddings; Neural-symbolic reasoning; Performance; Proof-length; Real-world; Reason-able embedding; Reasoners; Symbolic reasoning; Transfer learning","J. Potoniec; Institute of Computing Science, Poznan University of Technology, Poznan, ul. Piotrowo 2, 60-965, Poland; email: jedrzej.potoniec@put.poznan.pl","d'Avila Garcez, A.S.; Besold, T.R.; Gori, M.; Jimenez-Ruiz, E.; Ernesto, J.-R.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85167453235"
"Iferroudjene, M.; Charpenay, V.; Zimmermann, A.","Iferroudjene, Mouloud (57986054900); Charpenay, Victor (56405613300); Zimmermann, Antoine (15137763000)","57986054900; 56405613300; 15137763000","FB15k-CVT: A Challenging Dataset for Knowledge Graph Embedding Models","2023","CEUR Workshop Proceedings","3432","","","381","394","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167415445&partnerID=40&md5=c697b652f6862ab1f6fa4f602924c7ca","Clermont Auvergne INP, Aubiere, Auvergne-Rhone-Alpes, France; Courbon, Saint-Etienne, France","Iferroudjene, Mouloud, Clermont Auvergne INP, Aubiere, Auvergne-Rhone-Alpes, France, Courbon, Saint-Etienne, France; Charpenay, Victor, Clermont Auvergne INP, Aubiere, Auvergne-Rhone-Alpes, France; Zimmermann, Antoine, Clermont Auvergne INP, Aubiere, Auvergne-Rhone-Alpes, France","Knowledge Graphs (KGs) are an essential component of neuro-symbolic AI. KG Embedding Models (KGEMs) are used to represent elements of a KG (its entities and relations) in a vector space, to enable efficient processing and reasoning over knowledge. Most KGEMs are evaluated against datasets derived from the Freebase KG: FB15k and FB15k-237. In this paper, we identify limitations in these datasets with respect to Compound Value Types (CVTs), which are nodes introduced in Freebase as a substitute for N-ary relations. In FB15k and FB51k-237, CVTs have been removed, thereby eliminating valuable information. To evaluate whether KGEMs can learn semantically accurate representations of entities and relations in Freebase, we introduce here a new dataset named FB15k-CVT, which reintroduces the deleted CVT nodes. In a preliminary evaluation, we assess the limitations of baseline KGEMs (TransE, DistMult) in the presence of CVTs. The evaluation suggests that KGEMs based on tensor decomposition are more promising than translational models but, most of all, it calls for further experiments with KGEMs that can answer conjunctive queries or that preserve logical entailment. © 2023 Copyright for this paper by its authors.","FB15K-237; Knowldge Graph Embeddings Models; Knowledge Graphs; Neurosymbolic AI","Graph embeddings; Query processing; Variable speed transmissions; Vector spaces; Embeddings; FB15K-237; Knowldge graph embedding model; Knowledge graphs; Learn+; Model-based OPC; Neurosymbolic AI; Tensor decomposition; Translational models; Knowledge graph","","d'Avila Garcez, A.S.; Besold, T.R.; Gori, M.; Jimenez-Ruiz, E.; Ernesto, J.-R.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85167415445"
"Brown, M.S.; Wasil Wahi-Anwar, M.; Choi, Y.; Daly, M.; Shrestha, L.; Wong, K.-P.; Goldin, J.G.; Enzmann, D.R.","Brown, Matthew Sherman (19641996700); Wasil Wahi-Anwar, M. (57201858740); Choi, Youngwon (57194089667); Daly, Morgan A. (57226262152); Shrestha, Liza (57812424500); Wong, Koonpong (57813218400); Goldin, Jonathan Gerard (7004374200); Enzmann, Dieter R. (7006155787)","19641996700; 57201858740; 57194089667; 57226262152; 57812424500; 57813218400; 7004374200; 7006155787","Implementing Trustworthy AI in Real-World Medical Imaging Using the SimpleMind Software Environment","2023","CEUR Workshop Proceedings","3432","","","195","203","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167414672&partnerID=40&md5=f731d0a2ffa0c4539e29b473eebed869","Center for Computer Vision and Imaging Biomarkers, David Geffen School of Medicine at UCLA, Los Angeles, CA, United States","Brown, Matthew Sherman, Center for Computer Vision and Imaging Biomarkers, David Geffen School of Medicine at UCLA, Los Angeles, CA, United States; Wasil Wahi-Anwar, M., Center for Computer Vision and Imaging Biomarkers, David Geffen School of Medicine at UCLA, Los Angeles, CA, United States; Choi, Youngwon, Center for Computer Vision and Imaging Biomarkers, David Geffen School of Medicine at UCLA, Los Angeles, CA, United States; Daly, Morgan A., Center for Computer Vision and Imaging Biomarkers, David Geffen School of Medicine at UCLA, Los Angeles, CA, United States; Shrestha, Liza, Center for Computer Vision and Imaging Biomarkers, David Geffen School of Medicine at UCLA, Los Angeles, CA, United States; Wong, Koonpong, Center for Computer Vision and Imaging Biomarkers, David Geffen School of Medicine at UCLA, Los Angeles, CA, United States; Goldin, Jonathan Gerard, Center for Computer Vision and Imaging Biomarkers, David Geffen School of Medicine at UCLA, Los Angeles, CA, United States; Enzmann, Dieter R., Center for Computer Vision and Imaging Biomarkers, David Geffen School of Medicine at UCLA, Los Angeles, CA, United States","Deep neural networks (DNNs) have good overall performance in medical imaging, but they are susceptible to obvious mistakes that violate common sense concepts. Unexplained errors have reduced trust and prevented widespread adoption in real-world clinical practice. We introduce SimpleMind, an open-source Cognitive AI software environment for medical image understanding. It uses a hybrid Neurosymbolic AI approach that integrates both DNNs and machine reasoning from a knowledge base. We demonstrate its use in building trustworthy AI for checking endotracheal tube (ETT) placement on chest X-rays (CXRs). The AI was integrated into clinical practice and the correctness of the ETT misplacement alerts were compared with radiology reports as the reference. 214 CXRs were ordered by ICU physicians to check ETT placement with AI assistance. ETT alert messages had a positive predictive value (PPV) of 42% and a negative predictive value (NPV) of 98%. Physicians indicated that they agreed with the AI outputs, had increased confidence in their decisions, and were more effective with AI assistance. © 2020 Copyright for this paper by its authors.","Deep Neural Networks; Knowledge Base; Machine Reasoning; Medical Imaging; Trustworthy AI","Intensive care units; Knowledge based systems; Medical imaging; Open source software; Open systems; Clinical practices; Common sense; Knowledge base; Machine reasoning; Medical image understanding; Open-source; Performance; Real-world; Software environments; Trustworthy AI; Deep neural networks","","d'Avila Garcez, A.S.; Besold, T.R.; Gori, M.; Jimenez-Ruiz, E.; Ernesto, J.-R.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85167414672"
"Herron, D.; Jimeńez-Ruiz, E.; Weyde, T.","Herron, David (57810986900); Jimeńez-Ruiz, Ernesto (15136001900); Weyde, Tillman (24476899500)","57810986900; 15136001900; 24476899500","On the Benefits of OWL-based Knowledge Graphs for Neural-Symbolic Systems","2023","CEUR Workshop Proceedings","3432","","","327","335","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167407101&partnerID=40&md5=5f9c349cd250624a7bb1849c3fcd7913","City, University of London, London, United Kingdom; Universitetet i Oslo, Oslo, Oslo, Norway","Herron, David, City, University of London, London, United Kingdom; Jimeńez-Ruiz, Ernesto, City, University of London, London, United Kingdom, Universitetet i Oslo, Oslo, Oslo, Norway; Weyde, Tillman, City, University of London, London, United Kingdom","Knowledge graphs, as understood within the Semantic Web and Knowledge Representation communities, are more than just graph data. OWL-based knowledge graphs offer the benefits of being based on an ecosystem of open W3C standards that are implemented in a range of reusable existing resources (e.g. curated ontologies, software tools, web-wide linked data) and that also permit researchers to tailor resources for their unique needs (e.g. custom ontologies). Additionally, OWL-based knowledge graphs offer the benefits of formal, logical symbolic reasoning (e.g. reliable inference of new knowledge based on Description Logics, semantic consistency checking, extensions via user-defined Datalog rules). These capabilities allow OWL-based knowledge graphs to be leveraged in the form of active reasoning agents to guide deep learning during training and to participate in refining neural inference. We enumerate a host of such benefits to using OWL-based knowledge graphs in neural-symbolic systems. We illustrate several of these by drawing upon examples from our research in visual relationship detection within images, and we point to promising research directions and challenging opportunities. © 2023 Copyright for this paper by its authors.","AI; deep learning; knowledge graphs; neural-symbolic; ontologies; OWL; reasoning; Semantic Web","Birds; Computer software reusability; Data description; Deep learning; Graphic methods; Knowledge graph; Knowledge management; Learning systems; Ontology; Knowledge graphs; Knowledge-representation; Neural-symbolic; Neural-symbolic systems; Ontology's; OWL; Reasoning; Semantic-Web; Semantics knowledge; Semantic Web","D. Herron; City, University of London, London, United Kingdom; email: david.herron@city.ac.uk","d'Avila Garcez, A.S.; Besold, T.R.; Gori, M.; Jimenez-Ruiz, E.; Ernesto, J.-R.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85167407101"
"Pop, R.; Kostylev, E.V.","Pop, Roxana (58528970100); Kostylev, Egor V. (26433628600)","58528970100; 26433628600","Inductive Future Time Prediction on Temporal Knowledge Graphs with Interval Time","2023","CEUR Workshop Proceedings","3432","","","233","240","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167396942&partnerID=40&md5=cf1f3e6a71ad3fe05cb38b77cb64cfe5","Universitetet i Oslo, Oslo, Oslo, Norway","Pop, Roxana, Universitetet i Oslo, Oslo, Oslo, Norway; Kostylev, Egor V., Universitetet i Oslo, Oslo, Oslo, Norway","Temporal Knowledge Graphs (TKGs) are an extension of Knowledge Graphs where facts are temporally scoped. They have recently received increasing attention in knowledge management, mirroring an increased interest in temporal graph learning within the graph learning community. While there have been many systems proposed for TKG learning, there are many settings to be considered, and not all of them are yet fully explored. In this position paper we identify a problem not yet approached, inductive future time prediction on interval-based TKGs, and formalise it as a machine learning task. We then outline several promising approaches for solving it, focusing on a neurosymbolic framework connecting TKG learning with the temporal reasoning formalism DatalogMTL. © 2023 Copyright for this paper by its authors.","Inductive KG completion; Temporal Knowledge Graphs; Time intervals; Time prediction","Forecasting; Graphic methods; Knowledge management; Learning systems; Inductive KG completion; Interval time; Knowledge graphs; Learning community; Position papers; Temporal graphs; Temporal knowledge; Temporal knowledge graph; Time interval; Time predictions; Knowledge graph","R. Pop; University of Oslo, Norway; email: roxanap@uio.no","d'Avila Garcez, A.S.; Besold, T.R.; Gori, M.; Jimenez-Ruiz, E.; Ernesto, J.-R.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85167396942"
"Schreiberhuber, K.; Sabou, M.; Ekaputra, F.J.; Knees, P.; Aryan, P.R.; Einfalt, A.; Mosshammer, R.","Schreiberhuber, Katrin (58528976300); Sabou, Marta (14042331100); Ekaputra, Fajar J. (55626029300); Knees, Peter (8219023200); Aryan, Peb Ruswono (53263097600); Einfalt, Alfred (56028664800); Mosshammer, Ralf (57213900250)","58528976300; 14042331100; 55626029300; 8219023200; 53263097600; 56028664800; 57213900250","Causality Prediction with Neural-Symbolic Systems: A Case Study in Smart Grids","2023","CEUR Workshop Proceedings","3432","","","336","347","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167395516&partnerID=40&md5=d7270167d645918c5784de58fc3397ae","WU Vienna University of Economics and Business, Vienna, Vienna, Austria; Faculty of Informatics, TU Wien, Vienna, Vienna, Austria; Siemens AG Osterreich, Vienna, Austria","Schreiberhuber, Katrin, WU Vienna University of Economics and Business, Vienna, Vienna, Austria, Faculty of Informatics, TU Wien, Vienna, Vienna, Austria; Sabou, Marta, WU Vienna University of Economics and Business, Vienna, Vienna, Austria, Faculty of Informatics, TU Wien, Vienna, Vienna, Austria; Ekaputra, Fajar J., WU Vienna University of Economics and Business, Vienna, Vienna, Austria, Faculty of Informatics, TU Wien, Vienna, Vienna, Austria; Knees, Peter, Faculty of Informatics, TU Wien, Vienna, Vienna, Austria; Aryan, Peb Ruswono, Faculty of Informatics, TU Wien, Vienna, Vienna, Austria; Einfalt, Alfred, Siemens AG Osterreich, Vienna, Austria; Mosshammer, Ralf, Siemens AG Osterreich, Vienna, Austria","In complex systems, such as smart grids, explanations of system events benefit both system operators and users. Deriving causality knowledge as a basis for explanations has been addressed with rule-based, symbolic AI systems. However, these systems are limited in their scope to discovering causalities that can be inferred by their rule base. To address this gap, we propose a neural-symbolic architecture that augments symbolic approaches with sub-symbolic components, in order to broaden the scope of the identified causalities. Concretely, we use Knowledge Graph Embeddings (KGE) to solve causality knowledge derivation as a link prediction problem. Experimental results show that the neural-symbolic approach can predict causality knowledge with a good performance and has the potential to predict causalities that were not present in the symbolic system, thus broadening the causality knowledge scope of symbolic approaches. © 2023 Copyright for this paper by its authors.","Causality; Explainability; Knowledge Graph; Knowledge Graph Embedding; Smart Grid","Forecasting; Graph embeddings; Knowledge graph; Case-studies; Causality; Explainability; Knowledge graph embedding; Knowledge graphs; Neural-symbolic systems; Smart grid; System operator; Smart power grids","K. Schreiberhuber; Vienna University of Economics and Business, Vienna, Welthandelsplatz 1, 1020, Austria; email: katrin.schreiberhuber@wu.ac.at","d'Avila Garcez, A.S.; Besold, T.R.; Gori, M.; Jimenez-Ruiz, E.; Ernesto, J.-R.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85167395516"
"Aditya, D.; Mukherji, K.; Balasubramanian, S.; Chaudhary, A.; Shakarian, P.","Aditya, Dyuman (58146752500); Mukherji, Kaustuv (57207732889); Balasubramanian, Srikar (58146646300); Chaudhary, Abhiraj (58146786900); Shakarian, Paulo (36635055900)","58146752500; 57207732889; 58146646300; 58146786900; 36635055900","PyReason: Software for OpenWorld Temporal Logic","2023","CEUR Workshop Proceedings","3433","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166485907&partnerID=40&md5=398738618075dd8442b3e8287a0eb32a","Arizona State University, Tempe, AZ, United States","Aditya, Dyuman, Arizona State University, Tempe, AZ, United States; Mukherji, Kaustuv, Arizona State University, Tempe, AZ, United States; Balasubramanian, Srikar, Arizona State University, Tempe, AZ, United States; Chaudhary, Abhiraj, Arizona State University, Tempe, AZ, United States; Shakarian, Paulo, Arizona State University, Tempe, AZ, United States","The growing popularity of neuro symbolic reasoning has led to the adoption of various forms of differentiable (i.e., fuzzy) first order logic. We introduce PyReason, a software framework based on generalized annotated logic that both captures the current cohort of differentiable logics and temporal extensions to support inference over finite periods of time with capabilities for open world reasoning. Further, PyReason is implemented to directly support reasoning over graphical structures (e.g., knowledge graphs, social networks, biological networks, etc.), produces fully explainable traces of inference, and includes various practical features such as type checking and a memory-efficient implementation. This paper reviews various extensions of generalized annotated logic integrated into our implementation, our modern, efficient Python-based implementation that conducts exact yet scalable deductive inference, and a suite of experiments. PyReason is available at: github.com/lab-v2/pyreason. © 2023 CEUR-WS. All rights reserved.","AI Tools; First order logic; Generalized annotated logic; Graphical reasoning; Logic programming; Neuro Symbolic Reasoning; Open world reasoning; Temporal logic","Logic programming; Temporal logic; AI tool; Annotated logic; First order logic; Generalized annotated logic; Graphical reasonings; Logic-programming; Neuro symbolic reasoning; Open world; Open world reasoning; Symbolic reasoning; Computer circuits","K. Mukherji; Arizona State University, Tempe, 699 S Mill Ave, 85281, United States; email: kmukherji@asu.edu; P. Shakarian; Arizona State University, Tempe, 699 S Mill Ave, 85281, United States; email: pshak02@asu.edu","Martin, A.; Fill, H.-G.; Gerber, A.; Hinkelmann, K.; Lenat, D.; Stolle, R.; van Harmelen, F.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85166485907"
"Nirenburg, S.; Krishnaswamy, N.; McShane, M.","Nirenburg, Sergei (55932713000); Krishnaswamy, Nikhil (57197865998); McShane, Marjorie J. (7005853051)","55932713000; 57197865998; 7005853051","Hybrid Machine Learning/Knowledge Base Systems Learning through Natural Language Dialogue with Deep Learning Models","2023","CEUR Workshop Proceedings","3433","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166481933&partnerID=40&md5=412bf01df4cfdaf0a994b3558814514d","Rensselaer Polytechnic Institute, Troy, NY, United States; Colorado State University, Fort Collins, CO, United States","Nirenburg, Sergei, Rensselaer Polytechnic Institute, Troy, NY, United States; Krishnaswamy, Nikhil, Colorado State University, Fort Collins, CO, United States; McShane, Marjorie J., Rensselaer Polytechnic Institute, Troy, NY, United States","Neurosymbolic approaches to AI typically involve attempts to reincorporate the structure and speed of symbolic reasoning into the flexible representations of deep learning. ""Knowledge,"" in this understanding, is typically represented in a structured ontology or knowledge base that relies on human expertise and effort to construct. In this paper, we present a vision for ""language-endowed intelligent agents,"" a type of lifelong learner which begins with a hand-crafted knowledge base and a deep language understander and increases it over the course of its life through dialogue and interaction with both humans and other AI systems - generative large language learning models in particular. We discuss the requirements for such a system, present evidence toward the feasibility of the approach, and conclude with future challenges and research directions. © 2023 CEUR-WS. All rights reserved.","Language-endowed intelligent agents (LEIAs); Learning through dialogue between DL model and LEIA; Lifelong learning; Neurosymbolic AI","Deep learning; Knowledge based systems; Learning systems; Hybrid machine learning; Knowledge base system; Language-endowed intelligent agent; Learning models; Learning through dialog between DL model and language-endowed intelligent agent; Life long learning; Natural language dialogue; Neurosymbolic AI; Symbolic reasoning; System learning; Intelligent agents","S. Nirenburg; Rensselaer Polytechnic Institute, Troy, 110 8th St., 12180, United States; email: nirens@rpi.edu","Martin, A.; Fill, H.-G.; Gerber, A.; Hinkelmann, K.; Lenat, D.; Stolle, R.; van Harmelen, F.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85166481933"
"Shilov, N.; Ponomarev, A.; Smirnov, A.","Shilov, Nikolay Germanovich (55932123000); Ponomarev, Andrew V. (55858984800); Smirnov, Alexander Victorovitch (55725403900)","55932123000; 55858984800; 55725403900","THE ANALYSIS OF ONTOLOGY-BASED NEURO-SYMBOLIC INTELLIGENCE METHODS FOR COLLABORATIVE DECISION SUPPORT; АНАЛИЗ МЕТОДОВ ОНТОЛОГО-ОРИЕНТИРОВАННОГО НЕЙРО-СИМВОЛИЧЕСКОГО ИНТЕЛЛЕКТА ПРИ КОЛЛАБОРАТИВНОЙ ПОДДЕРЖКЕ ПРИНЯТИЯ РЕШЕНИЙ","2023","Informatics and Automation","22","3","","576","615","8","10.15622/ia.22.3.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164379135&doi=10.15622%2Fia.22.3.4&partnerID=40&md5=f84224a9b2fc27300be9e5fc8522ec0e","Laboratory of Computer Aided Integrated Systems, St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation","Shilov, Nikolay Germanovich, Laboratory of Computer Aided Integrated Systems, St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation; Ponomarev, Andrew V., Laboratory of Computer Aided Integrated Systems, St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation; Smirnov, Alexander Victorovitch, Laboratory of Computer Aided Integrated Systems, St. Petersburg Federal Research Center of the Russian Academy of Sciences, Saint Petersburg, Russian Federation","The neural network approach to AI, which has become especially widespread in the last decade, has two significant limitations – training of a neural network, as a rule, requires a very large number of samples (not always available), and the resulting models often are not well interpretable, which can reduce their credibility. The use of symbols as the basis of collaborative processes, on the one hand, and the proliferation of neural network AI, on the other hand, necessitate the synthesis of neural network and symbolic paradigms in relation to the creation of collaborative decision support systems. The article presents the results of an analytical review in the field of ontology-oriented neuro-symbolic artificial intelligence with an emphasis on solving problems of knowledge exchange during collaborative decision support. Specifically, the review attempts to answer two questions: 1. how symbolic knowledge, represented as an ontology, can be used to improve AI agents operating on the basis of neural networks (knowledge transfer from a person to AI agents); 2. how symbolic knowledge, represented as an ontology, can be used to interpret decisions made by AI agents and explain these decisions (transfer of knowledge from an AI agent to a person). As a result of the review, recommendations were formulated on the choice of methods for introducing symbolic knowledge into neural network models, and promising areas of ontology-oriented methods for explaining neural networks were identified. © 2023 Messenger of Anesthesiology and Resuscitation. All rights reserved.","deep learning; domain knowledge; explainable AI; machine learning; neuro-symbolic AI; ontology; XAI","","","","St. Petersburg Federal Research Center of the Russian Academy of Sciences","27133192","","","","Russian","Inform. Autom.","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85164379135"
"Spillo, G.; Musto, C.; Lops, P.; de Gemmis, M.; Semeraro, G.","Spillo, Giuseppe (57219502900); Musto, Cataldo (35107609000); Lops, Pasquale (6602373827); de Gemmis, Marco (26424953100); Semeraro, Giovanni (57108777800)","57219502900; 35107609000; 6602373827; 26424953100; 57108777800","Exploiting Neuro-Symbolic Graph Embeddings based on First-Order Logical Rules for Knowledge-aware Recommendations","2023","CEUR Workshop Proceedings","3419","","","1","11","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164135774&partnerID=40&md5=e94b45637d025355b4af962ce51ee07e","Università degli studi di Bari Aldo Moro, Bari, BA, Italy","Spillo, Giuseppe, Università degli studi di Bari Aldo Moro, Bari, BA, Italy; Musto, Cataldo, Università degli studi di Bari Aldo Moro, Bari, BA, Italy; Lops, Pasquale, Università degli studi di Bari Aldo Moro, Bari, BA, Italy; de Gemmis, Marco, Università degli studi di Bari Aldo Moro, Bari, BA, Italy; Semeraro, Giovanni, Università degli studi di Bari Aldo Moro, Bari, BA, Italy","In this paper1, we discuss a knowledge-aware recommendation framework based on neuro-symbolic graph embeddings that encodes first-order logical (FOL) rules. Our workflow starts from a knowledge graph (KG) encoding user preferences and item properties. Next, knowledge-aware recommendations are obtained through the combination of three modules: (i) a rule learner, that extracts FOL rules from the KG; (ii) a graph embedding module, that learns the embeddings of users and items based on the triples of the KG and the FOL rules previously extracted; (iii) a recommendation module, that uses the embeddings to feed a deep learning architecture. In the experimental session we evaluate the effectiveness of our strategy on two datasets. The results show that the combination of KG embeddings and FOL rules improves the predictive accuracy and the novelty of the recommendations. © 2021 Copyright for this paper by its authors.","graph embeddings; neuro-symbolic systems; recommender systems; symbolic reasoning","Deep learning; Encoding (symbols); Formal logic; Graph embeddings; Knowledge graph; Embeddings; First order; Graph encoding; Knowledge graphs; Logical rules; Neuro-symbolic system; Symbolic reasoning; User's preferences; Work-flows; Recommender systems","","Dovier, A.; Montanari, A.; Orlandini, A.","CEUR-WS","16130073","9789666544899; 9788073780029; 9788024810256; 9789986342748; 9788073781712; 9782954494807; 9788024823911; 9789562361989; 8024810255; 807378002X","","","English","CEUR Workshop Proc.","Conference paper","Final","","Scopus","2-s2.0-85164135774"
"Dietz, L.; Bast, H.; Chatterjee, S.; Dalton, J.; Meij, E.; de Vries, A.","Dietz, Laura (57223416572); Bast, Hannah (35104311400); Chatterjee, Shubham (57215357267); Dalton, Jeffrey (16068093600); Meij, Edgar (23398197500); de Vries, Arjen P. (56221254000)","57223416572; 35104311400; 57215357267; 16068093600; 23398197500; 56221254000","ECIR 23 Tutorial: Neuro-Symbolic Approaches for Information Retrieval","2023","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13982 LNCS","","","324","330","6","10.1007/978-3-031-28241-6_33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151057170&doi=10.1007%2F978-3-031-28241-6_33&partnerID=40&md5=2f38e1fa4cd1bb8c220b897f36c67969","University of New Hampshire Durham, Durham, NH, United States; Universität Freiburg, Freiburg im Breisgau, Baden-Wurttemberg, Germany; University of Glasgow, Glasgow, Scotland, United Kingdom; Bloomberg, New York, United Kingdom; Radboud Universiteit, Nijmegen, Gelderland, Netherlands","Dietz, Laura, University of New Hampshire Durham, Durham, NH, United States; Bast, Hannah, Universität Freiburg, Freiburg im Breisgau, Baden-Wurttemberg, Germany; Chatterjee, Shubham, University of New Hampshire Durham, Durham, NH, United States, University of Glasgow, Glasgow, Scotland, United Kingdom; Dalton, Jeffrey, University of Glasgow, Glasgow, Scotland, United Kingdom; Meij, Edgar, Bloomberg, New York, United Kingdom; de Vries, Arjen P., Radboud Universiteit, Nijmegen, Gelderland, Netherlands","This tutorial will provide an overview of recent advances on neuro-symbolic approaches for information retrieval. A decade ago, knowledge graphs and semantic annotations technology led to active research on how to best leverage symbolic knowledge. At the same time, neural methods have demonstrated to be versatile and highly effective. From a neural network perspective, the same representation approach can service document ranking or knowledge graph reasoning. End-to-end training allows to optimize complex methods for downstream tasks. We are at the point where both the symbolic and the neural research advances are coalescing into neuro-symbolic approaches. The underlying research questions are how to best combine symbolic and neural approaches, what kind of symbolic/neural approaches are most suitable for which use case, and how to best integrate both ideas to advance the state of the art in information retrieval. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","IR; Neural networks; Semantics","Flocculation; Knowledge management; Semantic Web; Semantics; Complex methods; Document ranking; Down-stream; End to end; IR; Knowledge graphs; Neural-networks; Semantic annotations; Symbolic knowledge; Technology leads; Information retrieval","L. Dietz; University of New Hampshire, Durham, United States; email: dietz@cs.unh.edu","Kamps, J.; Goeuriot, L.; Crestani, F.; Maistro, M.; Joho, H.; Davis, B.; Gurrin, C.; Caputo, A.; Kruschwitz, U.","Springer Science and Business Media Deutschland GmbH","03029743","9789819698936; 9789819698042; 9789819698110; 9789819698905; 9783032004949; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141","","","English","Lect. Notes Comput. Sci.","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85151057170"
