term,occurrences
row matching,1
hungarian algorithm,1
latent-variable encoding,1
deep gaussian processes,1
spectral regularization,1
automated disaster dataset generation,1
multimodal remote sensing datasets,1
ontology-based data labeling,1
semantic reasoning for hazard analysis,1
semantic aggregation,1
attribute attention,1
agriculture,1
digital database,1
decision making,1
decision support system (dss),1
disability employment,1
vocabulary hub,1
entity extraction,1
social science,1
survey data recycling,1
visual data query,1
environmental sensor networks (esns),1
ontology-based data access,1
structured query language (sql) databases,1
virtual knowledge graphs (vkgs),1
evolutionary algorithm,1
interpolation model,1
local search,1
automated data mapping,1
schema-based,1
iliad,1
ocean information model,1
nosql databases,1
schema discovery,1
sbert transformers,1
database interoperability,1
unstructured data processing,1
university network security,1
network planning,1
internet of things (iot),1
interoperabilit,1
data sovereignty,1
material flow,1
semantic usability,1
digital image quality assessment,1
ontology modeling,1
cultural heritage repositories,1
json-ld,1
steel surface defect,1
yolov8n,1
deep-learning-based representations,1
deep learning attention,1
integrated semantic feature,1
desmoking,1
laparoscopic scenes,1
generative adversarial network,1
edge-fog computing,1
digital-twins,1
jailbreak attack,1
mask generation,1
security defense,1
multi-objective optimization,1
eo,1
semantic ai,1
decision intelligence,1
sustainable systems,1
responsible ai,1
multi-site mri,1
content-style disentanglement,1
triplet attention,1
current source model,1
harmonic study,1
solar generation,1
switch model,1
cpps,1
domain-driven design (ddd),1
information model,1
frequency-domain analysis,1
harmonic mitigation,1
nodal analysis,1
model-based systems engineering (mbse),1
multidisciplinary design analysis and optimization (mdao),1
metamodel,1
early verification & validation (v&v),1
sysml,1
ontology and data portability,1
weight bipartite graph,1
data standardization,1
holistic health records,1
semantic communications,1
operated networks,1
digital elevation model (dem),1
global–local context,1
sinkhole detection,1
swin transformer,1
collaborative web,1
security,1
smart care,1
semantic assets,1
sa lifecycle,1
semantic assets development,1
point cloud registration,1
low overlap rate,1
semantic features,1
correspondence,1
unsupervised representation learning,1
offshore wind farm,1
harmonics,1
monitoring data,1
operation states,1
association analysis,1
japanese,1
bi-lstm,1
iot device discovery,1
iot device query,1
iot device registration,1
aortic segmentation,1
geometric constraint,1
data space access,1
data architecture,1
data vocabulary,1
simulation models,1
customer-side harmonic impedance,1
grid-side harmonic voltage,1
harmonic resonance,1
middleware,1
device intelligent registration,1
d-pmsg wind farm,1
utility-side harmonic impedance wind-farm-side harmonic impedance,1
gesture quantization,1
co-speech gesture generation,1
discrete encoding,1
crisp-dm,1
chat bots,1
multisensory integration,1
semantic category,1
selective attention,1
pretrain-finetuning,1
soft prompts,1
contrast learning,1
distribution alignment strategy,1
harmonic source localization,1
partial least squares (pls),1
data-driven modeling,1
distribution network,1
molecular classifi-cation,1
densenet-121,1
global average pooling,1
noise-contrastive estimation,1
hybrid text summarization,1
latent semantic analysis (lsa),1
longformer,1
pagerank. computational efficiency,1
electronic products,1
clip model,1
text alignment,1
lora fine tuning,1
data source,1
diffusion models,1
intra-image self-attention,1
image variations,1
semantic preservation,1
realistic image adaptations,1
5g and beyond wireless communication systems,1
end-to-end communication,1
end-to-end learning,1
goal-oriented communication,1
semantic distortion,1
cross attention,1
motion style transfer,1
semantic-aware motion transfer,1
dual interactive-flow fusion,1
distributed source coding,1
generalized concatenation,1
coset coding,1
genomic sequencing data,1
traffic forecasting,1
instance normalisation,1
distribution shift,1
cross-domain migration,1
graph classification,1
frequency spectrum,1
remote sensing visual grounding (rsvg),1
spatial-frequency fusion,1
global,1
efficacy,1
cross-modal learning,1
query-poi matching,1
ai-powered digital twin,1
cognitive ai interface,1
disaster management,1
geospatial foundation models,1
land use change,1
machine learning for earth observation,1
multimodal data fusion,1
physics-informed neural networks,1
postdisaster recovery,1
spatio-temporal analysis,1
vegetation dynamics,1
wind power prediction,1
incremental dynamic time alignment,1
cosine similarity cross-attention mechanism,1
renewable energy forecasting,1
time series forecasting,1
benchmark data sets,1
forecast uncertainty,1
extrapolation,1
neuro-symbolic hybrid methods,1
digital forensics,1
graph,1
ontology-driven programming,1
ontology graph,1
self-supervised learning ontology,1
instruction following,1
command verification,1
hybrid neural-symbolic nlp,1
arabic semantic query expansion,1
factual consistency in nlp,1
automated reasoning,1
factual verification,1
symbolic-neural integration,1
hallucination prevention,1
rule extraction,1
ambiguity resolution,1
6g network slicing,1
ultra-reliable low-latency communication (urllc),1
autonomous systems,1
remote surgery,1
real-time optimization,1
ai for network management,1
intelligent resource allocation,1
knowledge-based question answering (kbqa),1
neuro-symbolic.,1
neuro-symbolic model,1
it alerts,1
deep learning classifier,1
knowledge graph embedding's,1
dynamic graphs,1
contextual reasoning,1
real-time updates,1
medical natural language inference,1
distilbert,1
clinical decision-making,1
sustainable ai,1
combinations of intelligent methods,1
neuro-symbolic approaches,1
hybrid expert systems,1
collaborative optimization,1
hallucination mitigation,1
probabilistic graphical models,1
distributed systems,1
autonomous vehicles,1
ethical decision making,1
empathic-av,1
ethical ontology,1
stakeholder impact simulation,1
differentiable inductive logic programming (∂ilp),1
ilp,1
meta-interpretive learning (mil),1
probabilistic ilp (pilp),1
statistical relational learning (srl),1
symbolic knowledge bases,1
gpt-4,1
spatial graph,1
ego car,1
context aware perception,1
fuzzy answer set programming,1
gaussian-bernoulli restricted boltzmann machine,1
confidence rules,1
multi-modal learning analytics,1
6g,1
gender classification,1
blog posts,1
word representations,1
symmetry representation learning,1
scientific accuracy,1
climate change,1
fake news,1
hybrid homotopy optimization,1
risk sensitive optimization,1
hybrid variable learning,1
poster-level relation extraction,1
rules learning,1
hard rules,1
soft rules,1
rule consistency loss,1
layout understanding,1
copilot,1
multiagent,1
transcription factor,1
protein language model,1
6g networks,1
goaloriented communication,1
edge intelligence,1
ai-native networks,1
quantum cognition,1
predictive resilience,1
cyber-physical intelligence,1
adaptive infrastructure,1
distributed cognition,1
autonomous evolution,1
dpn,1
cem,1
cansae,1
fpf,1
nsre,1
ecf,1
dkg,1
standard operating procedures,1
chain-of-thought reasoning,1
network resource management,1
ai agent,1
intelligent operations,1
drug synergy,1
learnable database,1
physiological modeling,1
domain-specific fine-tuning,1
hybrid knowledge graph,1
classilication,1
acoustic models,1
lora methodology,1
bridge technical condition evaluation knowledge,1
concept extraction model,1
subgraph retrieval,1
advanced persistent threat,1
openai,1
rna sequencing (rna-seq),1
peline,1
nextflow,1
lynx-rna,1
large language models (llm),1
extractive qa,1
low-resource language,1
kazakh language,1
retrieval-augmentation,1
self-organizing map,1
power grid networks,1
pre-trained embeddings,1
contrastive alignment,1
ai tutoring,1
english as an additional language,1
vocabulary acquisition,1
logic reasoning system,1
financial regulation field,1
lexical fusion,1
financial complaint classification,1
hybrid nlp framework,1
false complaint detection,1
extended reality (xr),1
immersive environments,1
power systems,1
knowledge-augmented reasoning,1
nl2sql,1
k-means clustering,1
schema matching evaluation,1
instance-based schema matching,1
rare diseases,1
elmo,1
service similarity,1
web service,1
natural language possessing,1
dag,1
structure-aware attention,1
test matching,1
residual connections,1
text graph,1
data-scarcity,1
fertilizer recommendation,1
coffee farming,1
intracerebral hemorrhage,1
entity fusion,1
chinese question answering,1
medical knowledge graph,1
candidate generation,1
candidate ranking,1
global features,1
local features,1
event extraction,1
financial documents,1
financial events,1
node embeddings,1
property prediction,1
edge regression,1
edge classification,1
environmental toxins,1
biomedical knowledge graph,1
toxin-disease associations,1
node and link prediction,1
environmental health analytics,1
predictive toxicology,1
aspect based sentiment analysis,1
semantic web rule language,1
decision tree,1
asbestos,1
network alignment,1
multi-scale,1
node embedding,1
regulation,1
atomic diagram,1
logictext,1
partial model,1
innovation information mining,1
integration platform,1
intelligent knowledge extraction,1
bridge inspection,1
cross-kg link prediction,1
relation prototype graph,1
path extraction,1
cross modal knowledge alignment,1
multifeature fusion,1
dual-encoder models,1
biomedical knowledge graphs,1
orchestration,1
clinical qa,1
graph retrieval,1
q-matrix,1
indonesian product reviews,1
hybrid knowledge-enhanced personalized learning,1
attention-based collaborative filtering,1
incremental deep learning,1
cloud-based personalized education,1
weapon equipment,1
operation test,1
evaluation index system,1
multi-model large language model,1
discipinary knowledge graph,1
electrical safet,1
entity description embedding,1
kge,1
dense network,1
specific sharing,1
relational awareness,1
heterogeneous adaptive fusion,1
graph augmentation,1
contractive learning,1
multi-modal alignment,1
multi-view fusion,1
entity representation,1
power equipment state estimation,1
temporal transformer,1
smart farming,1
multi-modal entity resolution,1
adaptive denoising multi-modal hybrid,1
domain-specific consultation system,1
lightweight system,1
adverse drug event,1
clinical text analysis,1
research support system,1
multi-modal knowledge graphs,1
coreference resolution,1
mention detection,1
component,1
chinese cross-modal,1
fuzzy division,1
model decision tree,1
oblique decision tree,1
collaborative learning,1
joint event extraction,1
knowledge graph enrichment,1
korean grapheme-to-phoneme,1
autoregressive model,1
phonological knowledge base,1
syllable constraint,1
pre-analyzed dictionary,1
person-job recommendation,1
intent modeling,1
efficientnetv2b0,1
u-net,1
r-gcn,1
leaf disease detection,1
pest recommendation,1
visual perception technology,1
yolo model,1
hydropower maintenance resource scheduling,1
agent optimization,1
low-resource,1
opinion mining,1
knowledge matching,1
clinical data mining,1
precision medicine,1
scalable pipeline,1
user modeling,1
behavior embedding,1
long/short-term preference,1
precision-recall accuracy,1
dfig,1
relevance,1
verification,1
veracity,1
accountability,1
unified modeling,1
knowledge base management,1
configurable chunking,1
multimodal rag,1
image retrieval,1
short text,1
capsule networks,1
multi-query perception model,1
joint encoding model,1
automated question generation,1
bayesian network,1
body-in-white welding station,1
fuzzy semantics,1
lbp algorithm,1
selection method,1
knowledge hypergraph,1
natural language process,1
flask,1
autonomous vehicle,1
spatio-temporal attention for social interaction,1
intention prediction,1
medical information extraction,1
entity-relation extraction,1
biaffine attention,1
focal loss,1
multimodal entity alignment,1
causal discovery,1
industrial systems,1
genetic,1
fuzzy,1
arrhythmia,1
optimization,1
knowledge based systems,1
bangla,1
open-domain,1
generative,1
retrieval,1
bangla conversation corpus,1
multilayer,1
api,1
power grid dispatching,1
domain knowledge graph,1
synonym replacement,1
data lineage,1
metadata governance,1
edit distance,1
process industry,1
safety and security,1
teaching resource recommendation,1
test pass rate,1
gini coefficient,1
retrievers,1
dense index,1
healthcare management,1
disease prediction,1
multitask learning,1
real-time event summarization (res),1
avionics,1
structural health monitoring,1
visual storytelling,1
text feature,1
mobile wireless networks,1
3 gpp,1
question-answering systems,1
retrievers models,1
prognostic,1
remaining useful life (rul),1
c-mapss,1
breast cancer prognosis,1
multi-source biological data,1
dual-layer heterogeneous network,1
dialogue state tracking,1
task-oriented dialogue system,1
vae,1
probability graph model,1
slot-filling,1
multi-source entity fusion,1
hypernode,1
cascade dual-decoder,1
single-cell hi-c,1
3d genome organization,1
gene regulation,1
cell type identification,1
degradation parameters (dps),1
hybrid-driven method,1
induction motors,1
two stages,1
joint extraction of entities and relations,1
decomposition and recombination strategy,1
overlapping triples,1
bi-directional prediction,1
negative samples generation,1
emoji prediction,1
urdu language,1
roberta,1
ssep,1
multi-label,1
turkish,1
legal document retrieval,1
legal question answering,1
software security,1
vulnerability repair,1
chain of thought,1
indian penal code,1
legal guidance system,1
official document processing,1
model fine-tuning,1
stability analysis,1
resume shortlisting,1
legal nlp,1
legalbert,1
complaint analysis,1
fir automation,1
ai in law enforcement,1
bharatiya nyaya sanhita (bns),1
cross-lingual terminology alignment,1
prompt strategy,1
autonomous network,1
intent translation,1
end-to-end relation extraction,1
chinese nlp,1
gemini,1
llama,1
performance evaluation,1
intelligent algorithms,1
global medical communication,1
acoustic word embeddings,1
query-by-example search,1
terminology translation,1
real-time recommendation,1
technical documents,1
computer-assisted translation,1
gdpr compliance,1
privacy policies,1
semantic similarity analysis,1
e5 transformer model,1
domain-specific ai,1
nomic-em- beddings,1
legal assistance,1
hybrid data,1
structured data,1
unstructured data,1
equity markets,1
financial forecasting,1
equity forecasting,1
hybrid retrieval,1
generativeai,1
smart-eq,1
geospatial query system,1
fuzzy matching algorithm,1
web application,1
canonical names,1
named entity recognition (ner) etc,1
content-based recommendation,1
inner-attention mechanism,1
semantic product searching,1
service bulletin (sb),1
aerospace maintenance,1
prognostics and health management (phm),1
technical language processing,1
sequential denoising auto-encoder,1
artificial intelligence technology,1
english,1
complex statements,1
quick translation,1
automated text data augmentation,1
cross-lingual transfer learning,1
hyperparameter optimisation,1
intelligent collection,1
english-chinese corpus,1
cluster data mining,1
crowdsourced testing,1
test report clustering,1
code security,1
specification detection,1
environmental documents,1
automated system,1
text extraction,1
document revision,1
log understanding,1
multimodal document embedding,1
indonesian nlp,1
lightweight models,1
ocr-free retrieval,1
government schemes,1
faiss,1
multi-language support,1
fastapi,1
et,1
intelligent,1
accuracy,1
transformational method,1
idioms,1
database of uzbek idioms,1
transformational translation model,1
bnc,1
structured query language (sql),1
schema linking,1
long short-term memory networks,1
tree-lstm,1
distributed storage,1
multilingual corpus retrieval,1
semantic feature fusion,1
locality sensitive hashing,1
retrieval algorithm,1
llm-based machine translation,1
zero-shot,1
power data,1
event chain,1
reconstruction and traceability,1
security operation and maintenance,1
prefix sequence compression,1
soft position embedding,1
patent relevance assessment,1
international chinese language,1
core vocabulary,1
semantic relations,1
hyperbolic space,1
hyperboloid model,1
topic supervision,1
interactive attention,1
sparse matching,1
out-of-vocabulary words,1
tweet linking,1
similar case matching,1
law intelligence,1
rule reasoning,1
distributed retrieval,1
amie+ mining algorithm,1
pseudonymization,1
privacy-preserving ai,1
adaptive fine-tuning,1
personally identifiable information,1
analytics,1
ml for databases,1
query optimization,1
hardware-conscious query processing,1
distributed representations,1
english terminology,1
vocabulary retrieval,1
code clone detection,1
multilayered framework,1
semantic clones,1
adaptive ensemble,1
cross-language detection,1
software maintenance,1
equivalence link matching probability,1
semantic link matching probability,1
dyslexia screening,1
preschool education,1
webcam-based eye tracking,1
cognitive assessment,1
early diagnosis,1
e-commerce search,1
uml,1
transformation,1
case study,1
conceptualization,1
telecom,1
data construction,1
knowledge question answering,1
rotation invariance,1
suitability analysis,1
so(2) transformer,1
terrain evaluation,1
underwater navigation,1
harmonic source location,1
joint approximate diagonalization of eigenmatrices(jade),1
distributed multiple harmonic sources,1
correlation analysis,1
antagonistic learning,1
markov model,1
evaluation,1
multi-agent,1
ionosphere,1
catboost,1
feature reconstruction,1
vertical total electron content (vtec),1
continuum computing,1
event-driven,1
non-von neumann,1
microservices,1
frugal artificial intelligence,1
software ecosystem,1
software engineering,1
territorial monitoring,1
territorial management,1
persona-based dashboarding,1
quality of life metrics,1
kpi monitoring,1
employees,1
position,1
intelligent matching,1
unified neural architecture (una),1
unified vocabulary (uni-vocab),1
conditional gan,1
content optimization,1
distribution matching,1
diversity,1
prioritization,1
text-to-image synthesis,1
adversarial learning,1
cycle consistency,1
cross-domain experiments,1
fault diagnosis (fd),1
secure query services,1
fuzzy searchable encryption,1
multi-semantic query,1
parallel search,1
power-grid equipment,1
digital operation & maintenance,1
3-d identification,1
android testing,1
cross-app record-and-replay,1
subgraph matching,1
streaming graph,1
multi-query,1
asymmetric scalar-product-preserving encryp-tion (aspe),1
fuzzy search,1
multikeyword,1
privacy protection,1
searchable encryption,1
spatial keyword query,1
cgan,1
air-tree,1
skyline,1
distribution network engineering cost,1
indicator library,1
parameter matching,1
unified encoding,1
ticket routing,1
expert network,1
fine-grained fusion,1
gaussian decay,1
query-adaptive,1
grasp pose refinement,1
language-conditioned grasping,1
pretrained models,1
referring image segmentation,1
"domain transfer, geospatial database, multimodal large language models, zero-shot learning",1
"entity resolution, large language model, ontology matching",1
"knowledge graph, large language model, prompt technology, qlora, science and technology field",1
"data integration, generative ai",1
"fmri, autism spectrum disorder, multi-head attention, multi-context module, residual block, abide",1
"numismatics, semantic web, linked open data, archaeology, collections management, data analysis, digital humanities",1
"artificial intelligence, economics knowledge graph, innovation, innovation ecosystem, knowledge graph, science knowledge graph",1
"data integration, data matching, multi-task learning",1
"health informatics, ontology engineering, semantic networks",1
"digital textbook, generative artificial intelligence, metaverse, stem education",1
"multi-image hallucination, multimodal large language models",1
"knowledge graph, triple trustworthiness, industrial domain, representation learning",1
"align with ontology, large language model, self-training",1
"extended relational model, intelligent user interface, large language model, query processing, structured query language",1
"data integration, digital engineering, industrial plants, knowledge graphs, ontology, operation and maintenance activities",1
"incident management, query generation, large language model",1
"digital identity, european digital wallet, interoperability, mapping, trust over ip, trust services, eidas",1
"business view, enterprise knowledge graph, schema matching",1
"nosql, deep learning, knowledge graph, ontology, semantics",1
"human-in-the-loop, data quality, deep learning",1
"attention layer, multimodal large language model, over-accumulation",1
"data spaces, machine learning, semantic interoperability",1
"information integration, ontology matching, similarity measures",1
"spatial data mining and knowledge discovery, assessment of critical infrastructure, damage assessment, data curation and management, data reliability and quality, disaster response, geographic information retrieval, geographic information system, machine learning",1
"apache nifi, bert, intelligent analysis platform, lstm, real-time data integration",1
"augmentative and alternative communication, colourful semantics, transformer-based language models, bert, communication card prediction, brazilian portuguese",1
"information generation, information retrieval",1
"language models, multi-task learning, table understanding",1
"lstm, ontology schema alignment, ontology schema matching, recursive neural network, unsupervised learning",1
"deep learning, entity matching, entity resolution, record linkage, data matching",1
"augmented reality, knowledge graph, optical character recognition, ubiquitous computing, web of things",1
"open data, data preparation, data quality, action design research, knowledge graph, data sourcing, enterprise data integration",1
"topic detection and tracking, document clustering, document topic models, temporal clustering, representation learning",1
"case study, computer science services, data sharing, digital transformation",1
"wgsl, webassembly, webgpu, program translation, small language models",1
"entity matching, data integration, deep learning, entity resolution, pre-trained language models",1
"knowledge graph, mapping generation, rml, spreadsheet",1
"context-aware poi recommendations, knowledge graphs, ontology-based data integration",1
"data encyclopedia, full text search, knowledge map, web crawler",1
"wasserstein distance, procrustes analysis, doubling dimension, network alignment, unsupervised cross-lingual learning, domain adaptation",1
"co-creation, communication, digital transformation, t-government",1
"attention mechanism, optical remote sensing images, salient object detection, semantic guidance",1
"contour detection, deep convolutional neural networks, low-level vision, semantic edge detection",1
"carbon emissions monitoring, multi-source heterogeneous data fusion, privacy and security protection, vertical federated deep learning",1
"knowledge base, question answering, semantic parsing",1
"text-to-image, image synthesis, diffusion models",1
"continuous software engineering, data integration, ontology",1
"contrastive learning, evidential deep learning, multimodality, zero-shot learning",1
"multi-task learning, multimodal learning, neural networks, non-blocking inference",1
"energy efficiency, latent correlation learning, collaboration sensing, internet of things, temporal convolutional network, attention mechanism, multi-task learning",1
"activity-centric access control, deep learning based access control, humanoid robots, large language models, neuro-symbolic access control, robot task planning",1
"formal reasoning, faithful reasoning, model checking, large language models, intelligent qa systems",1
"code generation, deep learning, frame semantics, knowledge graph, program representation, requirement elicitation, software analytics",1
"abductive learning, embodied artificial intelligence, imitation learning, neuro-symbolic learning",1
"gpt, hierarchical task networks, hybrid ai, large language models (llms), neuro-symbolic ai",1
"smart grids, power electrical systems, neuro-symbolic artificial intelligence, fault diagnosis, convolutional neural networks, artificial neural networks, answer set programming",1
"programming by demonstration, task automation, task graph, cognitive dependency",1
"fine-tuning, large language models, military question-answering system, pre-training",1
"description logics, forgetting, ontologies, uniform interpolation",1
"graph-massivizer, metaphactory",1
"neurosymbolic methods, differentiable reasoning",1
"motion modeling, movement modeling, knowledge representation, labanotation, lma, expert systems",1
"adaptive learning, deep learning, knowledge graph, learning recommendation system, transformer model",1
"knowledge graph, query rewriting, ecommerce",1
"fine-grained entity typing, masked language model prompting, natural language understanding, zero-shot entity typing",1
"graph link prediction, knowledge graph, multi-task learning, recommender systems, review-based recommendation",1
"domain fine-tuning, dynamic inference, knowledge graph, large model, tacit knowledge",1
"conversational recommendation, data management, knowledge integration",1
"large language model, query enhancement, retrieval augmented generation",1
"intelligent manufacturing, multi-agent systems, multi-source data, multimodal documents, thinking retrieval-augmented generation",1
"bayesian networks, grid companies, causal reasoning, financial risk assessment, intelligent decision support, knowledge graph",1
"large language models, multimodal entity linking, multimodal knowledge base",1
"named entity recognition, table interpretation",1
"educational assessment, intelligent tutoring systems, knowledge graphs, large language models, natural language processing",1
"knowledge graphs, data integration, entity matching, triple matching",1
"hyperbolic spaces, knowledge graph, recommendation",1
"hierarchical transformer, multi-modal fusion, multi-modal knowledge graph completion, segmentation similarity, semantic related entity",1
"entity alignment, knowledge graphs, framework, unsupervised learning",1
"llm, artificial intelligence (ai), cancer, data management",1
"relation extraction, named entity recognition, multimodal, knowledge graph completion",1
"attention weight, enterprise-level rag system, multimodal fusion, dynamic optimization, knowledge update, cross-modal retrieval",1
"knowledge-aware recommendation, knowledge graph, graph neural networks, online recommendation",1
"knowlegde embedding, link prediction, multi-modal knowledge graph, multimodal fusion",1
"knowledge graph, lstm, lstm-kgrec",1
"knowledge graphs, natural language understanding, sentence representation learning",1
"coal supply chain, financial credit assessment, lightgbm+cgboost, loan optimization, multivariate fusion data",1
"knowledge graph, large language models, political science",1
"large language models, medical reasoning, retrieval augmented generation, visual question answering",1
"dual-channel fusion, engineering material matching, query enhancement, semantic retrieval",1
"unified retrieval-augmented generation (urag), multi-source heterogeneous data, accuracy and comprehensiveness in knowledge retrieval",1
"computer algorithm, critical thinking, discipline construction, higher education, teaching reform",1
"semantic similarity, network embedding, graph attention-based autoencoder, final alignment, ontology matching",1
"multi-source information fusion, graph neural networks",1
"cross-modal generation, medical report generation, multimodal fusion",1
"four-level qa robot, multimodal query analysis, multiple structures of data storage, multiscale intention identifications",1
"supply chain prediction, knowledge graph, deep learning",1
"emotional image content generation, unified emotional understanding and generation framework, visual emotion understanding",1
"knowledge injection, multimedia retrieval",1
"explanation generation, product search, prompt learning",1
"haptic feedback, intelligent music education, light field display, meta-learning, multimodal fusion",1
"chatgpt, database systems education, foundation models, intro to db, large language models, llm, undergrad databases",1
"dataset, explainability, user intent",1
"recommender systems, knowledge graph embedding, knowledge graph, attention mechanism",1
"open knowledge base linking, open knowledge base canonicalization, factor graph model",1
"construction safety management, entity recognition, knowledge graph, pose estimation",1
"knowledge fusion technology, multi-source knowledge integration, sports discipline",1
"knowledge distillation, knowledge graph, optimal transport",1
"alternative polyadenylation, feature selection, multimodal clustering, spatial transcriptomics",1
"euclidean space, hyperbolic space, knowledge graph embedding, optimal transport",1
"video tagging, multi-modal fusion, knowledge graph embedding",1
"relation linking, knowledge base, entity linking",1
"representation learning, large-scale knowledge graph, graph neural networks, entity alignment",1
"knowledge graph, multi-modal learning, video inference, video understanding",1
"digital twin, distribution network, model fusion, multi domain ontology, operation method",1
"recommendation, scalability, self-attention, knowledge graph embedding, end-to-end joint learning",1
"semantic data integration, iot-healthcare interoperability, graph machine learning, r2rml mapping, sparql queries",1
"combination bag, distant supervision relation extraction, sentence-level attention",1
"subgraph matching, graph neural network, dynamic multi-hop attention, composite loss function",1
"knowledge discovery, knowledge utilization, zero-shot learning, knowledge graph completion, image classification",1
"deep reinforcement learning, path reasoning, graph embedding",1
"dataset, mixture-of-experts, optimal transport, unified multimodal relation extraction",1
"word2vec, lda, information fusion, doctor recommendation",1
"triple classification., link prediction, knowledge graph embedding",1
"artificial intelligence, mechanical engineering, visualization",1
"attention mechanism, concept graph, information retrieval",1
"common sense knowledge, dialogue systems, emotional intent, empathetic dialogue generation",1
"linked data, relation extraction, intangible cultural heritage, digital humanity",1
"conversational recommender system, pre-trained language model, prompt learning",1
"query generation, keyword extraction, information retrieval, health misinformation",1
"relationship analysis, knowledge graphs, interaction analysis, intent detection, deep video understanding",1
"recommendation system, local and global information, knowledge graph, duet representation learning, collaborative signals",1
"network analysis, node representation, neural topic model, graph neural networks, relation topics",1
"cross-modal reasoning, multi-modal retrieval, question answering",1
"graph learning, graph neural networks, heuristic methods, link prediction",1
"bert, neural networks, relational triple extraction",1
"dynamic routing, integrated satellite–terrestrial, multi-domain network, transfer learning",1
"ensemble, graph analysis, model fusion, pre-trained models",1
"news, natural language processing, misinformation, image-text matching, deep learning, computer vision, cheapfakes",1
"hypernymy detection, financial nlp, distributional models",1
"vision-and-language, multimodal pretraining, knowledge-enhanced learning, deep learning",1
"explainable neural network model, association rules, social media mining, dynamic recommender systems",1
"distant supervision relation extraction, graph neural network, information extraction, relation extraction",1
"information extraction, joint extraction, multilingual entity and relation extraction, relational triple extraction",1
"multimedia event extraction, image representation learning, contrastive learning",1
"consistency, contrastive learning, cross-lingual cross-modal pretraining, cross-lingual cross-modal retrieval",1
"chinese-vietnamese, low-resource language, cross-lingual sentence embedding, siamese network, mbert",1
"code representation, contrastive learning, multilingual",1
"bert, data privacy, federated learning, information retrieval",1
"mesh, thesaurus, biomedical indexing, classification, language models, machine learning, semantic matching",1
"technical debt, artificial intelligence, machine learning, recommender system",1
"etl, fhir, smart-on-fhir, data interoperability, data repository, pediatric patient care, user interface",1
low-rank adaptation fine-tuning,1
"graph neural network, ideological and political education in higher education, knowledge graph, multimodal fusion",1
"artificial intelligence, big data, encode combination, model hallucinations, query augment",1
"image retrieval, multi-modal retrieval, intent uncertainty, large language model",1
"cyber threat intelligence, ml/ai-based cybersecurity, smart threat identification",1
"machine translation, metamorphic testing, word closure, deep learning testing",1
"feature interaction, multi-granularity feature convolution, multi-perspective matching, text matching",1
"fgia framework., fine-grained recognition, generative augmentation, part-joint, part-to-part matching",1
"cognitive assessment, smart-home, healthcare, location data mining",1
"information retrieval, interpretability, language models, probing",1
"crowdsourcing, deception detection, fake news, job scams, liwc, nlp, opinion spam, phishing, political lies, synthetic data",1
"acoustic sensing, contact force, grip force, wearable",1
"llm, ocr, qwen2.5-vl, rag, vision-language model",1
"multimodal retrieval, moment localization, visual comprehension, natural language understanding",1
"multimodality, weakly supervised visual grounding",1
"inclusion criteria, usagi, entity extraction, exclusion criteria, terminology expansion",1
"collaboration, consistency, design space exploration, model-driven engineering, ontologies, parallel engineering, uncertainty",1
"eye-tracking study, information processing, mixed use of structural particles",1
"anti-discrimination, data privacy, demographic data, fairness, sensitive data, special category data",1
"text input system, multi-language support, training-free",1
